title,author,rating,reviews,price,book_link,date
Dr Cuterus: Everything Nobody Tells You,Dr Tanaya Narendra,4.7 out of 5 stars,267,179.00,https://www.amazon.in/Dr-Cuterus-Everything-Nobody-Tells/dp/0143455702/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Oswaal CBSE Class 10 Social Science Question Bank (2024 Exam),Oswaal Editorial Board,4.5 out of 5 stars,96,433.00,https://www.amazon.in/Oswaal-Class-Social-Science-Question/dp/9356348901/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Quantitative Aptitude for Competitive Examinations All Government and Entrance Exams (Banking, SSC, Railway, Police, Civil Service, etc.) 40 Videos | 2000+ Solved Examples | 10000+ Practice Questions",R. S Aggarwal,4.3 out of 5 stars,1254,499.00,https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Revised/dp/9355012322/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,74628,105.00,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"First Aid for the USMLE Step 1 2023, Thirty Third Edition",,4.3 out of 5 stars,Matthew Sochat,1010.00,https://www.amazon.in/First-USMLE-Step-Thirty-Third/dp/1264946627/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,14222,209.00,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Arihant All In One Class 10th Science for CBSE Exam 2024,,4.0 out of 5 stars,Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor  Imran Ahmad ,382.00,https://www.amazon.in/Arihant-Class-10th-Science-Exam-2024/dp/9350105993/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Think Straight: Change your thoughts, Change your life [Paperback] Foroux, Darius",Darius Foroux,4.2 out of 5 stars,11494,127.00,https://www.amazon.in/Think-Straight-Change-your-thoughts/dp/0143452134/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Think and Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,4.5 out of 5 stars,4475,99.00,https://www.amazon.in/Think-Grow-Rich-21st-CENTURY/dp/9389931525/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Think and Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,4.5 out of 5 stars,4475,99.00,https://www.amazon.in/Think-Grow-Rich-21st-CENTURY/dp/9389931525/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Arihant All In One Class 10th Science for CBSE Exam 2024,,4.0 out of 5 stars,Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor  Imran Ahmad ,382.00,https://www.amazon.in/Arihant-Class-10th-Science-Exam-2024/dp/9350105993/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Oswaal CBSE Class 10 Social Science Question Bank (2024 Exam),Oswaal Editorial Board,4.5 out of 5 stars,96,433.00,https://www.amazon.in/Oswaal-Class-Social-Science-Question/dp/9356348901/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,4365,189.00,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1,2023-06-12 11:05:15
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,14223,209.00,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1,2023-06-12 11:05:15
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,74628,105.00,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,4.8 out of 5 stars,5040,278.50,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1,2023-06-12 11:05:15
